file_name,info
WMG.OQ_FY2022_ESG 2022 Report.pdf,Successfully downloaded
"IOT.N_FY2022_ENVIRONMENTAL, SOCIAL, AND GOVERNANCE (ESG) REPORT 2022.pdf",Successfully downloaded
CBOE.K_FY2022_Environmental • Social • Governance 2022.pdf,Successfully downloaded
AMCR.N_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
AMCR.N_FY2022_TCFD Report 2022.pdf,Successfully downloaded
KPN.AS_FY2022_Integrated Annual Report 2022.pdf,Successfully downloaded
BAP.N_FY2022_Sustainabilityat Credicorp 2022.pdf,Successfully downloaded
DECK.N_FY2022_FY 22 Corporate Responsibilityand Sustainability Report.pdf,Successfully downloaded
002027.SZ_FY2022_ESG Report.pdf,Successfully downloaded
"UDR.N_FY2022_ENVIRONMENTAL, SOCIAL,AND GOVERNANCE(ESG) REPORT 2022.pdf",Successfully downloaded
CARR.PA_FY2022_CARREFOUR GROUP SUSTAINABILITY-LINKED BOND FRAMEWORK.pdf,Successfully downloaded
7270.T_FY2022_Sustainability Website 2022.pdf,Successfully downloaded
GRAS.NS_FY2022_INTEGRATED ANNUAL REPORT 2021-22.pdf,Successfully downloaded
6502.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
CPB.N_FY2022_2022 CORPORATE RESPONSIBILITY REPORT.pdf,Successfully downloaded
EPAM.N_FY2022_Corporate Responsibility Report.pdf,Successfully downloaded
TEML.NS_FY2022_Integrated Annual Report 2021-22.pdf,Successfully downloaded
TRYG.CO_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
AKZO.AS_FY2022_annual report 2022.pdf,Successfully downloaded
1928.T_FY2022_Value Report 2022.pdf,Successfully downloaded
2503.T_FY2022_Environmental Report 2022.pdf,Successfully downloaded
"TAP.N_FY2022_ENVIRONMENTAL ,SOCIAL ANDGOVERNANCEREPORT 2022.pdf",Successfully downloaded
ENR1n.DE_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
6701.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
6701.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
"0992.HK_FY2022_202122 Environmental, Social and Governance Report.pdf",Successfully downloaded
KMX.N_FY2022_2022 Responsibility Report.pdf,Successfully downloaded
055550.KS_FY2022_2022 ESG HIGHLIGHT.pdf,Successfully downloaded
TECH.OQ_FY2022_2022 CorporateSustainabilityReport.pdf,Successfully downloaded
BXB.AX_FY2022_Sustainability Review 2022.pdf,Successfully downloaded
6881.HK_FY2022_2020年社会责任报告.pdf,Successfully downloaded
VDAN.NS_FY2022_Sustainability Report 22.pdf,Successfully downloaded
"ACI.N_FY2022_20212022Environmental, Social and Governance (ESG) Report.pdf",Successfully downloaded
H.N_FY2022_Climate Change 2022.pdf,Successfully downloaded
HST.OQ_FY2022_2022CORPORATE RESPONSIBILITY REPORT.pdf,Successfully downloaded
VODJ.J_FY2022_Sustainability report for the year ended 31 March 2022.pdf,Successfully downloaded
4507.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
4507.T_FY2022_Environment Report 2022.pdf,Successfully downloaded
"PEN.N_FY2022_Report on People,Products, Governanceand Environmental Issues 2022.pdf",Successfully downloaded
6645.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
REA.AX_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
DABU.NS_FY2022_Integrated Annual Report 2021-22.pdf,Successfully downloaded
DPZ.N_FY2022_SUSTAINABILITYREPORT FY22.pdf,Successfully downloaded
RENA.PA_FY2022_2021-2022 Integrated Report.pdf,Successfully downloaded
NHY.OL_FY2022_Annual report 2022.pdf,Successfully downloaded
8308.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
WDC.OQ_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
PAG.N_FY2022_2022ESGREPORT.pdf,Successfully downloaded
8604.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
"ACM.N_FY2022_Environmental,Social & Governance2022.pdf",Successfully downloaded
JKHY.OQ_FY2022_2022 JACK HENRY SUSTAINABILITY REPORT.pdf,Successfully downloaded
SGE.L_FY2022_Sustainability and Society Report 2022.pdf,Successfully downloaded
"NLOK.OQ_FY2022_2022 Environmental, Social, and Governance Report.pdf",Successfully downloaded
DOX.OQ_FY2022_Corporate SocialResponsibility & ESGReport 2021-2022.pdf,Successfully downloaded
CPT.N_FY2022_2021–2022 Corporate Responsibility Report.pdf,Successfully downloaded
9503.T_FY2022_ESG Report 2022.pdf,Successfully downloaded
HALC.NS_FY2022_TCFD Report 2021-22.pdf,Successfully downloaded
9202.T_FY2022_Corporate Governance Report 2022.pdf,Successfully downloaded
CG.OQ_FY2022_IMPACT REVIEW 2022.pdf,Successfully downloaded
